lead_hours,roc_auc,auprc,brier,n_train_rows,n_test_rows,n_test_pos,train_pos_windows_before,train_neg_windows_before,train_positive_repeat,train_neg_keep_prob,train_minority_rate_after_sampling
1,0.6796301574096404,0.004222447240582119,0.0200454480946064,2230,124124,315,1115,425939,2,0.029668567564839095,0.14999663684670747
2,0.7027869188729525,0.004695368318267712,0.029025046154856682,2094,124899,303,1047,425293,2,0.02790076488444437,0.15
3,0.6954142139885059,0.005170576768236644,0.017834480851888657,1956,125240,293,978,425224,2,0.026066261546855304,0.15
