model,lead_hours,reference_type,train_auc,reference_auc,gap_auc,test_auc,test_auprc,test_brier,train_auprc,reference_auprc,label
Calibrated Hist (tabular),,test,0.7987721563998815,0.7781230242394248,0.020649132160456718,0.7781230242394248,0.45128771762071834,0.10844668794641772,0.4953007723809149,0.45128771762071834,Calibrated Hist (tabular)
LSTM-event,1.0,validation,0.7283,0.7346,-0.006300000000000083,0.7343455812056642,0.006088392422006,0.018837722018361,,,LSTM-event (1h)
LSTM-event,2.0,validation,0.715,0.7443,-0.029299999999999993,0.7300147740864811,0.0057355182294316,0.0194760337471961,,,LSTM-event (2h)
LSTM-event,3.0,validation,0.713,0.7096,0.0033999999999999586,0.7444911045013461,0.0061974309439976,0.0287873707711696,,,LSTM-event (3h)
GRU,1.0,validation,0.7219,0.7357,-0.013800000000000034,0.7282281450677932,0.0061420293667628,0.0240720845758914,,,GRU (1h)
GRU,2.0,validation,0.6822,0.7301,-0.04789999999999994,0.7048859537788508,0.0050613912630444,0.0349955484271049,,,GRU (2h)
GRU,3.0,validation,0.6598,0.6503,0.009500000000000064,0.703627484811239,0.0050557784563233,0.0168471075594425,,,GRU (3h)
