feature,coefficient,abs_coefficient
spo2_mean,-4.7275061052590175,4.7275061052590175
condition_input_sepsis,0.9237039311362696,0.9237039311362696
condition_input_diabetes,-0.6602696145411086,0.6602696145411086
sbp_mean,-0.42926412657773233,0.42926412657773233
hr_minus_map_mean,0.3027210027660989,0.3027210027660989
map_mean,0.28633022564467564,0.28633022564467564
condition_input_ckd,-0.25076393075318054,0.25076393075318054
heart_rate_mean,0.20436013525284347,0.20436013525284347
condition_input_heart_failure,-0.14682711628988676,0.14682711628988676
temp_f_mean,-0.031192684223808043,0.031192684223808043
resp_rate_mean,-0.022276694046240084,0.022276694046240084
