lead_hours,roc_auc,auprc,brier,n_train_rows,n_test_rows,n_test_pos,train_pos_windows_before,train_neg_windows_before,train_positive_repeat,train_neg_keep_prob,train_minority_rate_after_sampling
1,0.7150636150127301,0.005265326370700394,0.022337572649121284,2230,124124,315,1115,425939,2,0.029668567564839095,0.14999663684670747
2,0.7325105235169572,0.005392733504623525,0.023220980539917946,2094,124899,303,1047,425293,2,0.02790076488444437,0.15
3,0.7418174111283935,0.006035024796467463,0.03102349303662777,1956,125240,293,978,425224,2,0.026066261546855304,0.15
