lead_hours,roc_auc,auprc,brier,n_train_rows_before_smote,n_train_rows_after_smote,n_val_rows,n_test_rows,n_test_pos,train_pos_before,train_neg_before,train_pos_after,train_neg_after,minority_ratio_after,smote_applied
1,0.6644826189649263,0.004514546499647633,0.06698724627494812,426548,567206,75893,124124,315,1143,425405,141801,425405,0.2499991184860527,True
2,0.6433178435343294,0.0037302829120664407,0.08265295624732971,425688,566164,75978,124899,303,1065,424623,141541,424623,0.25,True
3,0.6764952571972427,0.004309899461388042,0.05407339334487915,426576,567498,74749,125240,293,952,425624,141874,425624,0.24999911893962623,True
