model,mean_roc_auc,mean_auprc,mean_brier,rank_auc,rank_auprc,rank_brier,composite_rank
bilstm_attention_smote2575,0.7605115488149639,0.007527254311457,0.052223343402147265,1.0,1.0,3.0,1.6666666666666667
tft_style_smote2575,0.7480459265957377,0.006890029924137134,0.06255773082375524,2.0,2.0,4.0,2.6666666666666665
sequence_lstm_event,0.7297971832193603,0.005564361557263733,0.025527348741888934,4.0,4.0,2.0,3.3333333333333335
sequence_gru,0.6926104300903663,0.004696130775695467,0.0223016583671172,5.0,5.0,1.0,3.6666666666666665
tcn_smote2575,0.7299023102388116,0.005936139464746234,0.08622007320324576,3.0,3.0,6.0,4.0
transformer_encoder_smote2575,0.6614319065654994,0.0041849096243673336,0.06790453195571897,6.0,6.0,5.0,5.666666666666667
