lead_hours,roc_auc,auprc,brier,model
1,0.889243440090494,0.0325993234061056,0.0385598254010069,boosted_calibrated_hgb
1,0.7282281450677932,0.0061420293667628,0.0240720845758914,sequence_gru
1,0.7343455812056642,0.006088392422006,0.018837722018361,sequence_lstm_event
2,0.775282423757182,0.0117187216223426,0.0344674732608657,boosted_calibrated_hgb
2,0.7048859537788508,0.0050613912630444,0.0349955484271049,sequence_gru
2,0.7300147740864811,0.0057355182294316,0.0194760337471961,sequence_lstm_event
3,0.7616310065401756,0.0111793714905725,0.0339146913432139,boosted_calibrated_hgb
3,0.703627484811239,0.0050557784563233,0.0168471075594425,sequence_gru
3,0.7444911045013461,0.0061974309439976,0.0287873707711696,sequence_lstm_event
