lead_hours,roc_auc,auprc,brier,n_test_rows,n_test_pos,model
1,0.7990647011711717,0.0101768286509482,0.0508534274995327,124124,315,bilstm_attention_smote2575
1,0.6796301574096404,0.0042224472405821,0.0200454480946064,124124,315,sequence_gru
1,0.7150636150127301,0.0052653263707003,0.0223375726491212,124124,315,sequence_lstm_event
1,0.7511468958778929,0.0070650784153708,0.080518364906311,124124,315,tcn_smote2575
1,0.7819326030481925,0.0085575352415315,0.0659702941775322,124124,315,tft_style_smote2575
1,0.6644826189649263,0.0045145464996476,0.0669872462749481,124124,315,transformer_encoder_smote2575
2,0.7396644701549997,0.0060515146707425,0.0502799376845359,124899,303,bilstm_attention_smote2575
2,0.7027869188729525,0.0046953683182677,0.0290250461548566,124899,303,sequence_gru
2,0.7325105235169572,0.0053927335046235,0.0232209805399179,124899,303,sequence_lstm_event
2,0.7124481770627221,0.0052779426621566,0.0694458335638046,124899,303,tcn_smote2575
2,0.7152238013457515,0.0050002363818665,0.0671432241797447,124899,303,tft_style_smote2575
2,0.6433178435343294,0.0037302829120664,0.0826529562473297,124899,303,transformer_encoder_smote2575
3,0.7428054751187201,0.0063534196126803,0.0555366650223732,125240,293,bilstm_attention_smote2575
3,0.6954142139885059,0.0051705767682366,0.0178344808518886,125240,293,sequence_gru
3,0.7418174111283935,0.0060350247964674,0.0310234930366277,125240,293,sequence_lstm_event
3,0.7261118577758199,0.0054653973167113,0.1086960211396217,125240,293,tcn_smote2575
3,0.7469813753932691,0.0071123181490134,0.0545596741139888,125240,293,tft_style_smote2575
3,0.6764952571972427,0.004309899461388,0.0540733933448791,125240,293,transformer_encoder_smote2575
