epoch,auc,loss,val_auc,val_loss
1,0.712756872177124,0.5063985586166382,0.6634181141853333,0.10852134972810745
2,0.8118171095848083,0.4392448663711548,0.681770384311676,0.13973680138587952
3,0.8340744376182556,0.41725993156433105,0.680336594581604,0.14853914082050323
4,0.8458418250083923,0.4046325981616974,0.7098574042320251,0.16829761862754822
5,0.8532548546791077,0.39656102657318115,0.7029063701629639,0.16556952893733978
6,0.86129230260849,0.3871857821941376,0.7150784730911255,0.16031594574451447
7,0.8672372698783875,0.3801514804363251,0.7149204611778259,0.1528865098953247
8,0.872610330581665,0.37350013852119446,0.7171061038970947,0.17393040657043457
9,0.8770946860313416,0.36770036816596985,0.7196999192237854,0.13376310467720032
10,0.8814336061477661,0.36188429594039917,0.7201800346374512,0.164659783244133
11,0.8852355480194092,0.356828898191452,0.7232387661933899,0.1468612402677536
12,0.8898276090621948,0.3505557179450989,0.7325741052627563,0.16902141273021698
