epoch,auc,loss,val_auc,val_loss
1,0.7255232334136963,0.4991002678871155,0.6591436862945557,0.18373648822307587
2,0.8141161203384399,0.4361127018928528,0.6694800853729248,0.15268605947494507
3,0.8373221755027771,0.4132749140262604,0.6877551078796387,0.15185007452964783
4,0.8497435450553894,0.4002954959869385,0.6911684274673462,0.14875410497188568
5,0.858353316783905,0.39051756262779236,0.6853715181350708,0.1392996609210968
6,0.866952657699585,0.38021543622016907,0.7001133561134338,0.1389051377773285
7,0.8733687400817871,0.37211471796035767,0.7027931213378906,0.18551521003246307
8,0.8796761631965637,0.3641454875469208,0.7052791118621826,0.1754445731639862
9,0.8851306438446045,0.3570077419281006,0.6906425356864929,0.1656203716993332
10,0.8910343050956726,0.34875208139419556,0.6984192132949829,0.13315246999263763
11,0.8972968459129333,0.3399631679058075,0.6901720762252808,0.14916831254959106
