lead_hours,roc_auc,auprc,brier,n_train_rows_before_smote,n_train_rows_after_smote,n_val_rows,n_test_rows,n_test_pos,train_pos_before,train_neg_before,train_pos_after,train_neg_after,minority_ratio_after,smote_applied
1,0.7511468958778929,0.007065078415370823,0.08051836490631104,426548,567206,75893,124124,315,1143,425405,141801,425405,0.2499991184860527,True
2,0.7124481770627221,0.005277942662156601,0.06944583356380463,425688,566164,75978,124899,303,1065,424623,141541,424623,0.25,True
3,0.7261118577758199,0.005465397316711366,0.10869602113962173,426576,567498,74749,125240,293,952,425624,141874,425624,0.24999911893962623,True
