epoch,auc,loss,val_auc,val_loss
1,0.8441258072853088,0.40267834067344666,0.6722047328948975,0.32635918259620667
2,0.9371454119682312,0.27259814739227295,0.6413490772247314,0.2190101146697998
3,0.9667786955833435,0.20049206912517548,0.6213194131851196,0.17506933212280273
4,0.9791432023048401,0.1581641286611557,0.5707280039787292,0.1001301109790802
