lead_hours,roc_auc,auprc,brier,n_train_rows,n_test_rows,n_test_pos,train_pos_windows_before,train_neg_windows_before,train_positive_repeat,train_neg_keep_prob,train_minority_rate_after_sampling
1,0.7343455812056642,0.006088392422006088,0.01883772201836109,2230,124124,315,1115,425939,2,0.029668567564839095,0.14999663684670747
2,0.7300147740864811,0.005735518229431602,0.019476033747196198,2094,124899,303,1047,425293,2,0.02790076488444437,0.15
3,0.7444911045013461,0.006197430943997664,0.028787370771169662,1956,125240,293,978,425224,2,0.026066261546855304,0.15
